緯度,経度,郵便番号,都道府県,市区町村,町名,丁目,番,号,マンション名
35.6926537,139.4465629,,東京都,,,,,,Arty国立大学通り
35.7378441,139.7492479,,東京都,,,,,,Asia BLD.
35.6056391,139.3264452,,東京都,,,,,,August
35.702474,139.7727694,,東京都,,,,,,Avenir Akihabara
35.687702,139.6127189,,東京都,,,,,,Avenue Close
35.6209293,139.7408171,,東京都,,,,,,Axas品川
35.7031232,139.6650936,164-0001,東京都,中野区,中野,3丁目,33,4,Axia中野
35.6612719,139.7266859,,東京都,,,,,,Azabu Homes
35.7035357,139.6071902,,東京都,,,,,,Azalea Nishiogi
35.715782,139.6929749,,東京都,,,,,,A・Sハイツ
35.705083,139.6281212,,東京都,,,,,,B.Grouth荻窪
35.7374599,139.733047,,東京都,,,,,,BED&DESK
35.6806538,139.479445,,東京都,,,,,,BELISTA 府中
35.638632,139.697141,,東京都,,,,,,BELISTA中目黒
35.6958736,139.6942705,,東京都,,,,,,BELLEVOA
35.6144042,139.7438667,,東京都,,,,,,BIENA
35.6699022,139.8154269,,東京都,,,,,,BIG-ONEビル
35.7393959,139.7442019,,東京都,,,,,,BISHON駒込テラス
35.7240907,139.7533387,,東京都,,,,,,BK1フラット
35.7004538,139.7790076,,東京都,,台東,1丁目,4,,BKビル
35.690661,139.5646205,,東京都,,,,,,BL. TSUKASA
35.6585965,139.7260123,,東京都,,,,,,BLOMMOR西麻布
35.6624319,139.6590445,,東京都,,,,,,BLOOM SETAGAYA
35.7064105,139.902101,,東京都,,,,,,BLissCourt
35.765188,139.6485561,,東京都,,,,,,BONHEUR・MA'・MA'ISON
35.6747488,139.7963692,,東京都,,,深川二丁目,6,2,BONHEUR門前仲町
35.6414332,139.7379216,108-0073,東京都,,,,,,BPRレジデンス三田伊皿子坂
35.6932556,139.7732488,,東京都,,,,,,BPRレジデンス神田富山町
35.7341882,139.749543,,東京都,,,,,,BRANSIESTA Komagome
35.6552048,139.7448436,,東京都,,,,,,BRANZ Higashi Azabu
35.7335238,139.7363029,,東京都,,,,,,BRILLIANT MK-3
35.6023752,139.3493075,,東京都,,,,,,BROWN SIX
35.7298812,139.5157468,,東京都,,,,,,BRハウス
35.7472111,139.7538599,114-0011,東京都,北区,,2丁目,1,,BanRak Ogu
35.648128,139.7218014,,東京都,,,,8,11,Barbizon 22
35.7144606,139.7873844,,東京都,,松が谷,2丁目,27,,Barrio
35.7052749,139.6383037,,東京都,,,,,,Baum
35.6158022,139.6711053,152-0023,東京都,目黒区,八雲,2丁目,8,11,BeauRivage
35.7755597,139.4965027,,東京都,,,,,,BeeHive
35.6617328,139.3513511,,東京都,,,,,,Beeハイム
35.692377,139.5650018,,東京都,,,,,,Bel Jour MITAKA
35.7103847,139.5630132,,東京都,,,,,,Beljour MUSASHINO
35.7375902,139.7481687,,東京都,,,,,,Bell City駒込
35.625453,139.3286031,,東京都,,,,,,Bell Doune
35.7483589,139.6215373,,東京都,,,,,,Bella Vita 高野台
35.7439031,139.7451305,,東京都,,,,,,Belle harmonie Nishigahara
35.6739075,139.6111433,,東京都,,,,,,Bell・Bee芦花公園A棟
35.6739625,139.611137,,東京都,,,,,,Bell・Bee芦花公園B棟
35.676015,139.6182892,,東京都,,,,,,Beverley Homes TAKAIDOⅢ
35.7490914,139.7354859,,東京都,,,,,,Bichon王子滝野川Apartment
35.6404254,139.7267109,,東京都,,,,,,Birdy House白金
35.7191556,139.7829922,110-0004,東京都,台東区,下谷,,11,14,Biribiri bar
35.7779179,139.7193469,,東京都,,,,,,Bivio Akabane Aboard II
35.5505881,139.7517041,144-0043,東京都,大田区,,羽田五丁目,5,2,BlancCielHANEDA
35.7636943,139.7325344,,東京都,,,,1,1,Bloom Court
35.7638161,139.732138,,東京都,,,,1,1,Bloom Court
35.7438528,139.7352841,,東京都,,,,,,Bloom Stage西ヶ原
35.6563624,139.6909502,,東京都,,,,,,BluRock
35.6932181,139.6374967,,東京都,,,,,,Blue Gray apt.
35.7689114,139.7451615,123-0865,東京都,足立区,,新田三丁目,22,11,BoarCattle王子
35.6576095,139.7282484,,東京都,,,,,,Bond House Motoazabu
35.588604,139.4579404,,東京都,,,,,,Brick House
35.5781515,139.6866301,,東京都,,,,,,Brillante Kugahara
35.637152,139.787312,,東京都,,,,,,Brillia Mare Ariake
35.6075206,139.7301423,,東京都,,,,,,Brillia Oimachi La Vie En Tower
35.6682188,139.688328,151-0063,東京都,渋谷区,,富ヶ谷一丁目,49,21,Brillia Tower 代々木公園CLASSY
35.7067921,139.6604117,164-0001,東京都,中野区,中野,4丁目,10,3,Brillia ist 中野セントラルパーク
35.6482436,139.8029884,,東京都,,,東雲一丁目,9,22,Brillia ist 東雲キャナルコート
35.659373,139.3387307,,東京都,八王子市,,横山町4,5,,BrilliaTower八王子
35.7127219,139.7814422,,東京都,台東区,東上野,5丁目,6,1,Brillia上野Garden
35.7317211,139.7478281,,東京都,,,,,,Brillia六義園
35.667941,139.7270003,,東京都,,,,,,Bronze 南青山
35.732374,139.4738861,,東京都,,,,,,Brook East M
35.6775562,139.3932394,191-0011,東京都,日野市,,日野本町三丁目,3,7,BrownieHino
35.6312405,139.7468506,,東京都,,,,,,Bureau Shinagawa
35.6564288,139.3757538,,東京都,,,,,,Bクレセント
35.7222353,139.7981875,,東京都,,,,,,C'EST JOLI ASAKUSA
35.7050992,139.7780815,,東京都,,台東,3丁目,38,,C'esar Okachimachi
35.7541389,139.7359316,,東京都,,,,,,C'est joli ojiekimae
35.6338541,139.7356881,,東京都,,,,,,C.H.Oハウス
35.7388814,139.7308441,,東京都,,,,,,CAESAR SUGAMO
35.7375728,139.742798,,東京都,,,,,,CALLIS
35.7099271,139.6141218,,東京都,,,,,,CALM荻窪
35.6080657,139.36019,,東京都,,,,,,CANVAS南大沢
35.6922852,139.8123346,130-0022,東京都,江東区,,江東橋五丁目,14,14,CASA CARO
35.584042,139.7008646,,東京都,,,,,,CASA FLORESTA-1
35.5842174,139.7017614,,東京都,,,,,,CASA FLORESTA-2
35.7481687,139.7435361,,東京都,,,,,,CASA西ヶ原
35.6880889,139.7188035,,東京都,,,,,,CAVANA+ YOTSUYA
35.7064454,139.7695352,,東京都,,,,24,8,CAVE YUSHIMA
35.7395114,139.7427397,,東京都,,,,,,CELL HOME
35.7834926,139.5236789,,東京都,,,,,,CENTRAL NAKAZATO
35.7335637,139.5299436,,東京都,,,,,,CENTURY TANASHI PART2
35.6437147,139.7401906,,東京都,,,,,,CHANEX
35.6982705,139.6142199,,東京都,,,,,,CHAPEAN VERT
35.6936408,139.8170779,130-0022,東京都,墨田区,江東橋,4丁目,6,14,CHATEAU L'ARBRE VERT
35.715828,139.5439994,,東京都,,,,,,CHELSEAⅢ
35.7681978,139.6456154,,東京都,,,,,,CIEL赤塚
35.6674581,139.6740972,,東京都,,,,,,CITY HOUSE OHYAMACHO
35.7365325,139.7492324,,東京都,,,,,,CKレジデンス駒込
35.6989802,139.752343,,東京都,,,,,,CLAIR 三崎町
35.7690527,139.6465222,,東京都,,,,,,CLIHO下赤塚L1棟
35.6880725,139.802882,,東京都,,,,,,CLIMB 山勢
35.5596364,139.730429,144-0034,東京都,大田区,,西糀谷一丁目,10,2,CLIO KAMATA II
35.7089072,139.7851846,,東京都,,元浅草,3丁目,18,,CLIO MOTOASAKUSA
35.7116078,139.7852904,,東京都,,松が谷,1丁目,5,,CLiO la belle vie UENO MATSUGAYA
35.6630281,139.6628759,,東京都,,,,,,COMO VERANO
35.7303152,139.5129468,,東京都,,,,,,CONFARE HANAKOGANEI
35.7298178,139.5375571,,東京都,,,,,,CONFARE TANASHI-HONCHO
35.7052161,139.7625305,,東京都,,,,14,,CONOE本郷三丁目
35.6963663,139.7771244,,東京都,,,,,,CONOE秋葉原岩本町
35.7034012,139.7646668,,東京都,,,,,,COSMO REID Ochanomizu
35.6555228,139.7705323,,東京都,,,,,,COSMO TOKYO BAY TOWER
35.7112122,139.5811612,,東京都,,,,,,COSMOS KICHIJOJI
35.6368766,139.6926638,,東京都,,,,,,COUNTRY
35.6109703,139.2940266,,東京都,,,,,,COZY COURT 2m秦良
35.6950242,139.6922404,,東京都,,,,,,COZY COURT 西新宿
35.6757082,139.6187782,,東京都,,,,,,COZY513
35.766402,139.6470977,,東京都,,,,,,CQレジデンス練馬赤塚
35.5523213,139.7440054,144-0033,東京都,大田区,,東糀谷三丁目,13,13,CRECENT HANEDA
35.7000122,139.6581914,,東京都,,,,,,CRESCENT HIGASHIKOENJI
35.589679,139.7040555,,東京都,,,,,,CRESCENT NISHIMAGOME 2
35.5897399,139.7048537,,東京都,,,,,,CRESCENT NISHIMAGOME 3
35.6127008,139.7437961,,東京都,,,,,,CRESENT MINAMISHINAGAWA
35.6130277,139.7155545,142-0051,東京都,Hiratuka,,,,1-13-10,CREST FORME　TOGOSHI
35.6977297,139.5381344,,東京都,,,,,,CREST MUSASHINO
35.7031552,139.7826048,,東京都,,鳥越,1丁目,24,11,CRESTサカガミ
35.7143104,139.5438204,,東京都,,,,,,CROSSROAD SAKAI
35.6505997,139.7469281,,東京都,,,,,,CYNTHIA MITA KEIDAIMAE
35.7068393,139.615966,,東京都,,,,,,CYNTHIA OGIKUBO
35.649372,139.7218209,,東京都,,,,11,11,Cabins Hiroo
35.7645086,139.732336,,東京都,,,,,,Calm Court
35.7644582,139.731877,,東京都,,,,,,Calm Court
35.7355099,139.7370926,,東京都,,,,,,Camellia
35.6374051,139.750343,,東京都,,,,,,Cape Tower
35.7213023,139.7813138,,東京都,,,,,,Capital View根岸
35.7929496,139.2889862,,東京都,,,,,,Casa Collina
35.663642,139.70026,,東京都,,,,,,Casa Tokyo
35.7020025,139.6499579,,東京都,,,,,,Casa di Foresta
35.6416366,139.738202,,東京都,,,,,,Casa 伊皿子
35.7274251,139.536003,,東京都,,,,,,Casa'90
35.5488786,139.7432323,144-0043,東京都,大田区,,羽田二丁目,4,,CasaRiso羽田
35.688946,139.6256187,,東京都,,,,,,Cedar house
35.7578362,139.7431886,,東京都,,,,,,Center Village Ⅱ
35.6668106,139.7382452,,東京都,,,,,,Central Crib Roppongi I
35.6667244,139.7381173,,東京都,,,,,,Central Crib Roppongi II
35.6666336,139.7379843,,東京都,,,,,,Central Crib Roppongi III
35.6996172,139.7092411,,東京都,,,,,,Charm Suite Shinjuku Toyama
35.7031792,139.7855584,,東京都,,三筋,1丁目,6,,Chemin de Soie
35.7773447,139.5046455,,東京都,,,,,,Cherry house
35.6644919,139.6303537,,東京都,,,,,,Chez Fleurs Sakurajosui
35.715144,139.748673,,東京都,,,,2,,Chocolat白山
35.7025606,139.7804053,,東京都,,,,2,1,City House Akihabara East Residence
35.6545842,139.5446123,,東京都,,,,,,City House Chofu Kita Station Court
35.6310282,139.7480626,,東京都,,,,,,City Tower Shinagawa
35.7351008,139.7483003,,東京都,,,,,,Cityhouse Komagome
35.7038418,139.7649926,,東京都,,,,,,Cladear IVAN Ochanomizu
35.6741739,139.6070537,,東京都,,,,,,Clair Court Rokakoen
35.7066563,139.6147409,,東京都,,,,,,Clair上荻One
35.7066028,139.6147464,,東京都,,,,,,Clair上荻Two
35.7421088,139.7415235,,東京都,,,,,,Cle de lespoir
35.6900227,139.6110144,,東京都,,,,,,Clementia 宮前
35.7063786,139.7713016,110-0005,東京都,台東区,上野,1丁目,11,7,Clover Court Kuromoncho
35.6194185,139.7247264,,東京都,,,,,,Collina Osaki
35.7058089,139.7723932,,東京都,,上野,3丁目,17,4,Comforia上野広小路
35.6486595,139.696176,,東京都,,,,,,Comforia目黒青葉台
35.7148029,139.5437923,,東京都,,,,,,Comfort Forest
35.7169079,139.7865149,,東京都,,松が谷,3丁目,22,,Comfort松が谷
35.5486435,139.7503956,144-0043,東京都,大田区,,羽田五丁目,13,11,Comforza慶
35.702597,139.7890637,111-0051,東京都,台東区,,蔵前四丁目,8,9,Comptoir Coin
35.704651,139.786828,,東京都,,三筋,1丁目,15,,Con Moto Mikuni
35.7466897,139.7411462,,東京都,,,,,,Confort Nishigahara
35.7025861,139.7882447,,東京都,,蔵前,4丁目,10,,Conforte Heim Kuramae
35.6969108,139.7843981,,東京都,,浅草橋,1丁目,6,,Contento浅草橋
35.6917158,139.5652931,,東京都,,,,,,Cornusハイツ
35.6629062,139.6617501,,東京都,,,,,,Corretto 代田
35.6605413,139.6804012,,東京都,,,,,,Cortile Komaba
35.6605356,139.6801489,,東京都,,,,,,Cortile Komaba
35.6601584,139.6658941,,東京都,,,,,,Cortile 下北沢
35.6674371,139.7174138,,東京都,,,,,,Cosmos Marsa
35.7689068,139.5085775,,東京都,,,,,,Cosmos The Park 清瀬の森
35.7551043,139.7353096,,東京都,,,,,,Costa
35.754805,139.7491962,,東京都,,,,,,Court pine tail
35.696163,139.7802962,,東京都,,,,,,Cracia Akihabara Luxesuite
35.7054118,139.7793059,,東京都,,,,35,8,Crevia Ueno Okachimachi
35.7911167,139.6690583,,東京都,,,,,,Crevista Itabashi Nishidai
35.7029603,139.7767807,,東京都,,台東,2丁目,7,,Cuby Court
35.6873337,139.6322794,,東京都,,,,,,Cuアパート
35.7066267,139.762186,,東京都,,本郷,3丁目,29,,Cynthia Hongo Todaimae
35.6714672,139.4753615,,東京都,,,,,,Cèzar Plaza Fuchu
35.6142726,139.7439691,,東京都,,,,,,D Art Matsui
35.7085668,139.8108067,130-0002,東京都,墨田区,,業平一丁目,10,9,D'クラディア 押上ヴェリエスト
35.705141,139.7267209,,東京都,,,,,,D-Room Waseda
35.7759406,139.4986805,,東京都,,,,,,D-comodo野塩
35.6866048,139.5818992,,東京都,,,,,,D-room mitaka
35.6868274,139.5818766,,東京都,,,,,,D-roomミタカⅡ
35.687205,139.5820312,,東京都,,,,,,D-roomミタカⅢ
35.7325329,139.4775882,,東京都,,,,,,D.C.Hills
35.6623612,139.6618473,,東京都,,,,,,DAITA confidence
35.662397,139.6617266,,東京都,,,,,,DAITA confidenceⅡ
35.5585645,139.7205664,,東京都,,,,,,DAIWA PALACE CITY WIND KAMATA
35.7376667,139.7433011,,東京都,,,,,,DEMITASSE KODAMA
35.7257805,139.6038204,,東京都,,,,,,DHSさくら
35.695402,139.7076335,,東京都,,,,,,DIAMOND RESIDENCE 新宿
35.7069453,139.7697912,,東京都,文京区,湯島,3丁目,25,9,DIAMOND RESIDENCE 湯島第2
35.6241662,139.7311222,,東京都,,,,,,DIKマンション
35.6934999,139.7363848,162-0843,東京都,新宿区,市谷田町,1丁目,14,1,DNPプラザ
35.6757981,139.761037,,東京都,,,,,,DNタワー21
35.6758419,139.7608314,100-0006,東京都,千代田区,有楽町,1丁目,13,1,DNタワー21
35.7331864,139.7565882,,東京都,,,,,,DOLCE本駒込
35.6244603,139.7103221,,東京都,,,,,,DOM FUDOMAE
35.7677808,139.6560444,,東京都,,,,,,DRホームズ北町
35.7122566,139.6113332,,東京都,,,,,,DRホームズ杉並桃井
35.7346156,139.5125707,,東京都,,,,,,DRホームズ花小金井
35.7002075,139.7807605,,東京都,,浅草橋,5丁目,10,,DUO SCALA AKIHABARA
35.7054272,139.771185,110-0005,東京都,台東区,上野,1丁目,2,,DUO SCALA UENO
35.6920658,139.606693,,東京都,,,,,,DYNACITY KUGAYAMA EAST
35.6921496,139.6064846,,東京都,,,,,,DYNACITY KUGAYAMA WEST
35.6696065,139.6560828,,東京都,,,,,,DYNACITY MEIDAIMAE
35.7005413,139.5845054,,東京都,,,,,,DYNAC吉祥寺
35.7361424,139.751286,,東京都,,,,,,Daffitto Komagome
35.7167643,139.7857713,,東京都,,,,10,12,Daikan Plaza上野III
35.7048239,139.622867,167-0043,東京都,杉並区,,上荻1丁目,2,1,Daiwa荻窪タワー
35.6476338,139.7311788,106-0047,東京都,,南麻布,3丁目,20,1,Daiwa麻布テラス
35.7583518,139.7371321,,東京都,,,,,,Ddmus Oji
35.7706297,139.6412088,175-0093,東京都,板橋区,赤塚新町,3丁目,3-4,,DeLCCS Akatsuka
35.6825624,139.7722903,103-0027,東京都,中央区,日本橋,2丁目,1,20,Dear日本橋タワー
35.5601972,139.7301963,,東京都,,,,,,DenHouse
35.7023986,139.6022832,,東京都,,,,,,Design Court 西荻窪
35.6547889,139.7777115,,東京都,中央区,,晴海三丁目,13,2,Deux Tours Canal & Spa
35.7163744,139.7894326,,東京都,,西浅草,3丁目,24,,Dia Palace Nishi Asakusa Grand Majest
35.7020172,139.7849571,,東京都,台東区,鳥越,2丁目,5,,Diamond Mansion
35.656795,139.3440407,,東京都,,,,,,Die Buhne Myoujincho
35.7435368,139.7363464,,東京都,,,,,,Dolce Nishigahara
35.7177062,139.785288,,東京都,,北上野,2丁目,20,,Dragon Mansion 上野壱番館
35.7324274,139.7195648,170-0013,東京都,豊島区,,東池袋2丁目,50,15,Due Higashi-Ikebukuro
35.725351,139.7051378,,東京都,,,,,,Duo Scala MEJIRO
35.6953056,139.6966107,,東京都,,,,,,Duo Scala NISHI SHINJUKU
35.7046175,139.7763121,,東京都,台東区,,台東三丁目,15,,Duo Stage Okachimachi
35.6949597,139.6898199,,東京都,新宿区,西新宿,6丁目,78-8,,Dタワー西新宿
35.6472668,139.7867123,,東京都,江東区,豊洲,6丁目,4,,Dタワー豊洲
35.5472268,139.7490118,144-0043,東京都,大田区,,羽田六丁目,4,3,Dフラッツ643
35.6165357,139.3953133,,東京都,,,,,,EAST
35.7003027,139.6340304,,東京都,,,,,,ELDENCIA ASAGAYA PLATINUM
35.7789778,139.3002503,,東京都,,,,,,ELSHEART
35.717901,139.7050001,,東京都,,,,,,ELSTANZA 目白
35.6710503,139.6571593,,東京都,,,,,,EMハイツ
35.7778823,139.4914725,,東京都,,,,,,ENハイツエコ
35.6899227,139.8147397,,東京都,,,,,,EOハイツ
35.737397,139.7484495,,東京都,,,,,,EPマンション
35.7562688,139.7602638,120-0046,東京都,足立区,,2-10-18,,,EQRoom
35.649561,139.408824,,東京都,,,,,,ESSEN HOUS
35.7267758,139.5409735,,東京都,,,,,,ESTATE TOWA
35.6523098,139.745949,,東京都,,,,,,ESTE MAR 芝公園
35.6507873,139.7547601,108-0014,東京都,港区,,芝一丁目,12,3,ESTEM PLAZA SHIBAKOEN
35.696536,139.6051933,,東京都,,,,,,ESハウス
35.6730196,139.8266745,,東京都,,,,,,EVERGREEN 明治通り
35.6334277,139.7319749,,東京都,,,,,,EXCEL高輪
35.6612324,139.7271531,,東京都,,,,,,EXタワー
35.7593196,139.4675879,,東京都,,,,,,EastWindHONCHI
35.7075774,139.7694347,,東京都,文京区,湯島,3丁目,33,,Elite Inn Nido
35.7601547,139.4677583,,東京都,,,,,,Elleハイム
35.6650871,139.6294947,,東京都,,,,,,Enchante
35.7017672,139.7834885,,東京都,,,,,,Enicis浅草橋
35.7130851,139.5409013,,東京都,,,,,,Ensoleillé Musashino
35.7770675,139.4979014,,東京都,,,,,,Epoch
35.5497072,139.7494286,144-0043,東京都,大田区,,羽田五丁目,9,2,EsTRUTH羽田
35.6951643,139.7689229,,東京都,,,,,,Esperanza
35.7774772,139.2976034,,東京都,,,,,,Espoir Colline
35.6717811,139.6568989,,東京都,,,,,,Espoir 和泉
35.7347548,139.7488298,,東京都,,,,,,Estem Court Komagome六義園
35.617288,139.7204579,,東京都,,,,,,Esty Maison
35.6202368,139.7206975,,東京都,,,,,,Etinceler Gotanda
35.775609,139.4953594,,東京都,,,,,,Etupirka
35.7586419,139.7384009,,東京都,,,,,,Excel ojikita
35.698602,139.8128209,,東京都,,錦糸,2丁目,8,,Eコーポ
35.6576032,139.6955718,,東京都,,,,,,E・スペースタワー
35.6886792,139.6136741,,東京都,,,,,,F-court 高井戸
35.6424823,139.4135925,,東京都,,,,,,F-vers Hills AIRY COURT
35.7027218,139.7662332,,東京都,,湯島,1丁目,11,12,FAMILLE OCHANOMIZU ANCHER
35.6459543,139.7398931,,東京都,,,,,,FCフレミール三田
35.65027,139.6828006,,東京都,,,,,,FELICE
35.704505,139.7765621,,東京都,台東区,,台東三丁目,14,,FERIO御徒町
35.5468395,139.7476908,144-0043,東京都,大田区,,羽田六丁目,22,14,FERIO羽田
35.7335341,139.7494711,,東京都,,,,,,FIORE KOMAGOME
35.740802,139.7368349,,東京都,,,,,,FKビル
35.7281023,139.7819263,,東京都,,,,,,FLAT y.y
35.7332786,139.7376195,,東京都,,,,,,FLATS M
35.651086,139.6816414,,東京都,,,,,,FLEG池尻
35.7336992,139.7535239,,東京都,,,,,,FLレジデンス東大Ⅱ
35.7201866,139.7959108,111-0032,東京都,台東区,浅草,5丁目,18,1,FLレジデンス浅草
35.626367,139.7308448,,東京都,,,,,,FORECITY SHIMAZUYAMA
35.7366831,139.7437997,,東京都,,,,,,FORENA SOMEI
35.7078268,139.6846704,,東京都,,,,,,FUJI CO-OP'
35.6400735,139.732971,,東京都,,,,,,FUJIYOSHI白金高輪ASYLCOURT
35.6675617,139.6518091,,東京都,,,,,,FUJIハイム
35.6585628,139.6921311,,東京都,,,,,,Feel Shoto
35.6762217,139.5600664,,東京都,,,,,,Felone Jidaiji
35.5662393,139.7226276,144-0052,東京都,大田区,,蒲田二丁目,18,24,Ferio Kamata
35.566243,139.7227029,144-0052,東京都,大田区,,蒲田二丁目,18,1,Ferio Kamata Ⅱ
35.5629702,139.7242522,144-0052,東京都,大田区,,蒲田三丁目,15,9,Ferio Kamata Ⅲ
35.7687497,139.6433695,179-0073,東京都,練馬区,田柄,2丁目,38,26,Figaro 下赤塚
